	0.0	5.0	7.5	10.0	15.0	20.0	25.0	30.0	45.0	60.0	90.0	115.0	135.0	155.0	180.0
0	0.000	0.001	0.002	0.004	0.009	0.017	0.027	0.039	0.094	0.176	0.408	0.638	0.810	0.938	1.000
1	0.000	0.001	0.002	0.004	0.009	0.017	0.027	0.039	0.094	0.176	0.408	0.638	0.810	0.938	1.000
2	0.000	0.001	0.002	0.003	0.007	0.014	0.022	0.033	0.081	0.154	0.378	0.613	0.795	0.933	1.000
3	0.000	0.001	0.002	0.003	0.007	0.013	0.021	0.031	0.077	0.146	0.364	0.600	0.786	0.930	1.000
4	0.000	0.001	0.002	0.004	0.008	0.014	0.023	0.033	0.078	0.147	0.361	0.596	0.783	0.928	1.000
5	0.000	0.001	0.002	0.004	0.009	0.016	0.026	0.037	0.084	0.153	0.364	0.597	0.783	0.928	1.000
6	0.000	0.001	0.003	0.005	0.011	0.019	0.030	0.042	0.092	0.163	0.373	0.602	0.785	0.929	1.000
7	0.000	0.002	0.003	0.006	0.013	0.023	0.034	0.048	0.102	0.175	0.385	0.609	0.789	0.930	1.000
8	0.000	0.002	0.004	0.007	0.015	0.026	0.039	0.055	0.113	0.189	0.399	0.619	0.794	0.932	1.000
9	0.000	0.002	0.005	0.008	0.018	0.030	0.045	0.061	0.124	0.203	0.413	0.629	0.800	0.934	1.000
10	0.000	0.003	0.005	0.009	0.020	0.034	0.050	0.068	0.136	0.218	0.429	0.640	0.806	0.936	1.000
15	0.000	0.004	0.009	0.015	0.031	0.052	0.076	0.102	0.192	0.289	0.504	0.695	0.838	0.947	1.000
20	0.000	0.006	0.012	0.020	0.042	0.068	0.099	0.132	0.240	0.349	0.566	0.740	0.864	0.956	1.000
25	0.000	0.007	0.015	0.025	0.051	0.083	0.119	0.158	0.279	0.397	0.615	0.775	0.884	0.962	1.000
30	0.000	0.008	0.017	0.029	0.060	0.097	0.137	0.180	0.313	0.436	0.653	0.802	0.899	0.968	1.000
35	0.000	0.010	0.020	0.034	0.068	0.109	0.154	0.201	0.342	0.469	0.684	0.823	0.911	0.972	1.000
40	0.000	0.011	0.023	0.038	0.076	0.121	0.169	0.220	0.368	0.497	0.709	0.840	0.920	0.975	1.000
45	0.000	0.012	0.025	0.042	0.084	0.132	0.184	0.237	0.391	0.522	0.730	0.854	0.928	0.977	1.000
50	0.000	0.013	0.028	0.046	0.091	0.143	0.197	0.253	0.411	0.543	0.747	0.865	0.934	0.979	1.000
55	0.000	0.015	0.030	0.050	0.098	0.153	0.210	0.268	0.430	0.562	0.762	0.875	0.939	0.981	1.000
60	0.000	0.016	0.033	0.054	0.105	0.163	0.223	0.282	0.448	0.580	0.776	0.883	0.944	0.982	1.000
65	0.000	0.017	0.035	0.058	0.112	0.172	0.235	0.296	0.464	0.596	0.787	0.890	0.947	0.984	1.000
70	0.000	0.018	0.038	0.061	0.118	0.181	0.246	0.309	0.479	0.610	0.798	0.897	0.951	0.985	1.000
75	0.000	0.020	0.040	0.065	0.125	0.191	0.257	0.321	0.493	0.623	0.807	0.902	0.954	0.986	1.000
80	0.000	0.021	0.042	0.069	0.131	0.199	0.267	0.332	0.506	0.635	0.816	0.907	0.956	0.987	1.000
85	0.000	0.022	0.045	0.073	0.138	0.208	0.278	0.344	0.519	0.648	0.824	0.912	0.959	0.987	1.000
90	0.000	0.023	0.047	0.076	0.144	0.216	0.287	0.354	0.530	0.658	0.831	0.916	0.961	0.988	1.000
95	0.000	0.025	0.049	0.080	0.150	0.224	0.297	0.365	0.542	0.668	0.838	0.920	0.963	0.989	1.000
150	0.000	0.025	0.053	0.087	0.167	0.255	0.344	0.429	0.640	0.782	0.925	0.971	0.989	0.997	1.000
